epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,117.013,1.02653,2.22183,1.15281,0.72097,0.16752,0.33407,0.19462,1.05002,2.69862,1.29453,0.000365396,0.000365396,0.000365396
2,235.766,1.04867,1.54959,1.15524,0.76055,0.24003,0.24473,0.1378,1.08523,2.09614,1.30811,0.000590055,0.000590055,0.000590055
3,354.368,1.05169,1.47469,1.16729,0.41952,0.10111,0.09423,0.06325,1.09182,1.85662,1.29699,0.000668062,0.000668062,0.000668062
4,517.024,1.0125,1.36385,1.14798,0.83052,0.08353,0.09002,0.07351,1.00918,1.66391,1.25091,0.000451066,0.000451066,0.000451066
5,691.619,0.93741,1.20097,1.09928,0.46955,0.08169,0.09565,0.0653,0.98523,1.47465,1.22036,0.000231088,0.000231088,0.000231088
