epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
36,131709,0.96516,0.44651,0.84875,0.9783,0.97082,0.99226,0.76238,0.80133,0.36885,0.81454,0.000614,0.000614,0.000614
37,134679,0.95653,0.44304,0.84948,0.98223,0.96951,0.99231,0.76732,0.78638,0.36388,0.81323,0.0005744,0.0005744,0.0005744
38,137642,0.95201,0.43933,0.84744,0.98026,0.96989,0.99219,0.76298,0.79529,0.3663,0.81415,0.0005348,0.0005348,0.0005348
39,140593,0.94782,0.43671,0.84714,0.98282,0.97031,0.99236,0.76596,0.79198,0.36276,0.81324,0.0004952,0.0004952,0.0004952
40,143573,0.9431,0.43304,0.84581,0.98006,0.97398,0.99253,0.76871,0.79144,0.36101,0.81289,0.0004556,0.0004556,0.0004556
41,146642,0.90236,0.40797,0.8446,0.9807,0.96894,0.99217,0.76954,0.78744,0.36285,0.81339,0.000416,0.000416,0.000416
42,149708,0.89493,0.40186,0.84346,0.982,0.96837,0.99237,0.77,0.78729,0.361,0.81255,0.0003764,0.0003764,0.0003764
43,152641,0.88755,0.39967,0.84127,0.97908,0.97447,0.99295,0.77366,0.77918,0.35769,0.81172,0.0003368,0.0003368,0.0003368
44,155574,0.88162,0.39406,0.83999,0.98407,0.97104,0.99283,0.77645,0.7775,0.355,0.81111,0.0002972,0.0002972,0.0002972
45,158500,0.87249,0.38977,0.83945,0.98417,0.97151,0.99282,0.77576,0.77828,0.35427,0.81125,0.0002576,0.0002576,0.0002576
46,161434,0.86657,0.38668,0.83769,0.98347,0.97275,0.9928,0.77619,0.77905,0.35394,0.81114,0.000218,0.000218,0.000218
47,164500,0.86257,0.3818,0.83591,0.9842,0.97328,0.99283,0.77888,0.77231,0.35032,0.81016,0.0001784,0.0001784,0.0001784
48,167632,0.85851,0.37948,0.8365,0.98494,0.97183,0.99304,0.78025,0.76824,0.34836,0.80967,0.0001388,0.0001388,0.0001388
49,170673,0.8521,0.37552,0.83626,0.98533,0.97142,0.99294,0.78047,0.76971,0.34834,0.80974,9.92e-05,9.92e-05,9.92e-05
50,173793,0.84959,0.37398,0.83482,0.98683,0.97112,0.99289,0.78075,0.76936,0.34779,0.80957,5.96e-05,5.96e-05,5.96e-05
